source_file,page,resposta_social,tipo_acordo,n_medio_utentes,n_medio_funcionarios,n_meses,is_ocr,vendas,servicos_prestados,servicos_prestados_particulares,subsidios_publicos,iss_ip,iss_ip_2,outros_rendimentos,custo_mercadorias,fse,gastos_pessoal,outros_gastos,ebitda,depreciacao,resultado_liquido,ss_funding_authoritative,_comparticipacoes_matched_key,concelho,centro_distrital,ano,activity_group,ss_funding,revenue,total_cost,labour_cost,monthly_revenue,monthly_fee,monthly_social_security_funding,monthly_cost,monthly_ebitda,monthly_labour_cost,monthly_revenue_per_beneficiary,monthly_fee_per_beneficiary,monthly_social_security_funding_per_beneficiary,monthly_cost_per_beneficiary,monthly_ebitda_per_beneficiary,monthly_revenue_per_worker,monthly_cost_per_worker,monthly_labour_cost_per_worker,beneficiary_worker_ratio,ss_funding_cost_coverage_ratio,institution_id,equipment_id
OCIP 1_24.pdf,4,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,32.0,13.0,12.0,False,0.0,85644.07,85644.07,138322.45,138322.45,0.0,6414.89,-16476.81,-32552.96,-168439.78,-1427.75,11484.11,-8538.03,6618.86,,,BRAGA,,2024,Idosos,138322.45,230381.41,218897.3,168439.78,19198.45,7137.01,11526.87,18241.44,957.01,14036.65,599.95,223.03,360.21,570.05,29.91,1476.8,1403.19,1079.74,2.46,20.22,INST_78679529,EQUIP_77918a18
OCIP 1_24.pdf,5,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,28.0,8.0,12.0,False,0.0,96674.07,96674.07,57034.59,57034.59,0.0,2443.79,-6276.88,-12837.94,-89605.95,-543.96,46887.72,-3252.59,45034.29,,,BRAGA,,2024,Idosos,57034.59,156152.45,109264.73,89605.95,13012.7,8056.17,4752.88,9105.39,3907.31,7467.16,464.74,287.72,169.75,325.19,139.55,1626.59,1138.17,933.4,3.5,14.62,INST_78679529,EQUIP_77918a18
OCIP 2_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,8.0,4.0,12.0,False,0.0,33778.18,33778.18,32894.09,32894.09,0.0,0.0,-5963.49,-12755.44,-61326.93,0.0,-13373.59,0.0,-13373.59,,,RIO MAIOR,,2024,Idosos,32894.09,66672.27,80045.86,61326.93,5556.02,2814.85,2741.17,6670.49,-1114.47,5110.58,694.5,351.86,342.65,833.81,-139.31,1389.01,1667.62,1277.64,2.0,3.29,INST_a490aecb,EQUIP_70fb9a47
OCIP 2_24.pdf,3,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,5.0,2.0,12.0,False,0.0,19610.8,19610.8,9110.47,9110.47,0.0,0.0,-1657.42,-4169.91,-22592.82,-11.12,290.0,0.0,290.0,,,RIO MAIOR,,2024,Idosos,9110.47,28721.27,28431.27,22592.82,2393.44,1634.23,759.21,2369.27,24.17,1882.74,478.69,326.85,151.84,473.85,4.83,1196.72,1184.64,941.37,2.5,1.6,INST_a490aecb,EQUIP_70fb9a47
OCIP 2_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,67.0,50.0,12.0,False,23633.7,707764.71,662994.21,464054.34,450715.82,0.0,240912.54,-102876.45,-271636.6,-922550.72,-8711.63,130589.89,-46586.35,166614.53,,,RIO MAIOR,,2024,Idosos,464054.34,1436365.29,1305775.4,922550.72,119697.11,58980.39,38671.2,108814.62,10882.49,76879.23,1786.52,824.62,560.59,1624.1,162.43,2393.94,2176.29,1537.58,1.34,23.81,INST_a490aecb,EQUIP_70fb9a47
OCIP 3_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,20.0,6.0,12.0,False,0.0,199223.24,82026.4,0.0,0.0,0.0,11684.13,-44447.16,-37161.59,-138943.89,0.0,-9645.27,-14168.49,-23813.76,,,TONDELA,,2024,Idosos,0.0,210907.37,220552.64,138943.89,17575.61,16601.94,0.0,18379.39,-803.77,11578.66,878.78,341.78,0.0,918.97,-40.19,2929.27,3063.23,1929.78,3.33,0.0,INST_fe5a74f3,EQUIP_e3c34bfa
OCIP 3_24.pdf,3,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,20.0,4.0,12.0,False,0.0,97495.42,56983.45,0.0,0.0,0.0,0.0,-17285.01,-26346.77,-43531.66,0.0,10331.98,-9445.66,886.32,,,TONDELA,,2024,Idosos,0.0,97495.42,87163.44,43531.66,8124.62,8124.62,0.0,7263.62,861.0,3627.64,406.23,237.43,0.0,363.18,43.05,2031.15,1815.9,906.91,5.0,0.0,INST_fe5a74f3,EQUIP_e3c34bfa
OCIP 4_24.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,55.0,12.0,12.0,False,0.0,82863.75,82863.75,233414.76,233414.76,0.0,2227.12,-16564.28,-55113.6,-237444.83,-656.37,8726.55,-8334.91,391.64,,,GUIMARÃES,,2024,Infância,233414.76,318505.63,309779.08,237444.83,26542.14,6905.31,19451.23,25814.92,727.21,19787.07,482.58,125.55,353.66,469.36,13.22,2211.84,2151.24,1648.92,4.58,41.44,INST_06dcf602,EQUIP_658011c9
OCIP 4_24.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Típico Tipo de Atividade:,95.0,16.0,12.0,False,0.0,101277.92,101277.92,285284.72,285284.72,0.0,2722.03,-20245.23,-67361.07,-290210.35,-802.23,10665.79,-10187.11,478.68,,,GUIMARÃES,,2024,Infância,285284.72,389284.67,378618.88,290210.35,32440.39,8439.83,23773.73,31551.57,888.82,24184.2,341.48,88.84,250.25,332.12,9.36,2027.52,1971.97,1511.51,5.94,71.58,INST_06dcf602,EQUIP_658011c9
OCIP 5_24.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,35.0,6.0,12.0,False,0.0,215676.73,19387.0,18438.69,0.0,0.0,19165.36,-19489.13,-36488.81,-167051.47,-170.47,30095.74,-8646.99,20000.18,,,PESO DA RÉGUA,,2024,Infância,18438.69,253280.78,223199.88,167051.47,21106.73,17973.06,1536.56,18599.99,2507.98,13920.96,603.05,46.16,0.0,531.43,71.62,3517.79,3100.0,2320.16,5.83,2.89,INST_385e9951,EQUIP_0778164c
